# a	b	kn_cost  (trigram-backed, kappa=1000.0, d=0.75)
 	*	3766
 	be	3766
 	don	5375
 	hirose	3766
 	may	3766
 	―	5375
 	。	3163
 	「	5372
 	ええ	5375
 	しかし	3766
 	そうい	5374
 	そそ	5375
 	その	5359
 	その方	5375
 	それ	3764
 	です	3745
 	と	3738
 	なぜ	5374
 	に	5118
 	の	3141
 	もの	5349
 	る	5362
 	わかり	5373
 	ウィリー	5375
 	ドア	5372
 	ネット	5375
 	メアリー	5373
 	ヤニ	5375
 	予想	5373
 	余り	3766
 	倒れ	5374
 	口	5371
 	意志	5374
 	本当	5369
 	注意	5370
 	湿度	5375
 	物理学	5374
 	特に	5374
 	異なっ	5374
 	目的語	5375
 	私	5354
*	 	2079
*	*	322
+	代名詞	1386
-	spacing	470
.	6	2773
.	EOS	1163
.	。	2763
.co.jp	 	470
0	3	2485
0	ドル	2485
0	ヤード	2485
00	万人	2079
00	年	2079
1	個	2079
1	億	2079
10	〜	3466
10	まで	3463
10	分	901
10	時	3464
10	歳	3466
100	万	470
11	〜	2079
11	歳	2079
12	歳	470
14	.	1386
17	世紀	2079
17	年が	2079
2	つ	2995
2	年生	2996
2	歳	2996
2	発	2996
2	言語	2996
20	0	1674
20	00	827
20	個	3283
25	0	1386
2人	の	1378
3	つ	1569
3	年	3177
3	日	3177
3	歳	3178
3	週間	3178
30	歳	1386
4	つ	1386
5	7	1163
5	日	2772
5	歳	2772
50	人	1386
6	m	2485
6	冊	2485
6	時	2484
7	便	1386
8	倍	1386
@	genet	470
BOS	10	13169
BOS	20	13169
BOS	5	13170
BOS	as	11562
BOS	ca	13171
BOS	to	13171
BOS	〆切	11562
BOS	「	6114
BOS	『	11561
BOS	あ	10606
BOS	あぁ	11562
BOS	ああ	7773
BOS	あいかわらず	13171
BOS	あいつ	8115
BOS	あいにく	8777
BOS	あいみ	11562
BOS	あえて	10974
BOS	あからさま	13171
BOS	あかり	13171
BOS	あきらめ	11561
BOS	あきれ	13171
BOS	あくどい	11562
BOS	あくまで	13170
BOS	あげ	13161
BOS	あさって	10607
BOS	あした	9804
BOS	あす	9201
BOS	あそこ	8312
BOS	あたし	10338
BOS	あたたかい	9279
BOS	あたたかく	10127
BOS	あたり	9061
BOS	あちこち	10974
BOS	あちら	10606
BOS	あちらこちら	11562
BOS	あっ	9560
BOS	あっち	10974
BOS	あっと	11562
BOS	あつし	13171
BOS	あて	13166
BOS	あと	8376
BOS	あなた	3294
BOS	あの	4904
BOS	あのう	10974
BOS	あのお	10606
BOS	あはは	13171
BOS	あまり	7208
BOS	あや	11562
BOS	あやうく	10974
BOS	あやふや	13171
BOS	あら	11562
BOS	あらお	13171
BOS	あらかじめ	11562
BOS	あらゆる	8343
BOS	あら捜し	13171
BOS	あり	13117
BOS	ありあまる	11562
BOS	ありがとう	9279
BOS	ありのまま	13170
BOS	ある	6908
BOS	あるいは	13170
BOS	あれ	6773
BOS	あれこれ	10974
BOS	あわて	11562
BOS	あんた	10127
BOS	あんな	8480
BOS	あんない	13171
BOS	あんま	13171
BOS	あんまり	10974
BOS	あン	13171
BOS	あー	13171
BOS	いい	7091
BOS	いいえ	8042
BOS	いいや	13171
BOS	いい加減	10606
BOS	いう	11559
BOS	いえ	10974
BOS	いかが	11561
BOS	いかし	13169
BOS	いかだ	13171
BOS	いかな	13164
BOS	いかなる	11562
BOS	いかに	9675
BOS	いきなり	13170
BOS	いく	10974
BOS	いくつ	8518
BOS	いくら	9128
BOS	いざと	13170
BOS	いざというとき	13171
BOS	いざという時	11562
BOS	いじめ	11562
BOS	いす	11561
BOS	いずれ	8997
BOS	いそがしい	13171
BOS	いそぎ	11562
BOS	いたい	13167
BOS	いたずら	11562
BOS	いたずらっ子	13171
BOS	いちばん	11561
BOS	いっこう	11562
BOS	いっしょ	10606
BOS	いっしょう	13171
BOS	いっそ	13171
BOS	いったい	7562
BOS	いったん	9061
BOS	いっぱい	10973
BOS	いつ	6205
BOS	いつう	13171
BOS	いつか	7738
BOS	いつくしみ	13171
BOS	いつこ	9804
BOS	いつごろ	11562
BOS	いつも	7239
BOS	いつ頃	10607
BOS	いとこ	10338
BOS	いとも	13170
BOS	いな	10126
